P105,"{'code': 'P105', 'status': 'CHECKED', 'mismatches': []}"
P102,"{'code': 'P102', 'status': 'CHECKED', 'mismatches': []}"
P102-NNP,"{'code': 'P102-NNP', 'status': 'CHECKED', 'mismatches': []}"
P108,"{'code': 'P108', 'status': 'CHECKED', 'mismatches': []}"
P109,"{'code': 'P109', 'status': 'CHECKED', 'mismatches': []}"
P107,"{'code': 'P107', 'status': 'CHECKED', 'mismatches': []}"
P106,"{'code': 'P106', 'status': 'CHECKED', 'mismatches': []}"
P301,"{'code': 'P301', 'status': 'CHECKED', 'mismatches': []}"
P701,"{'code': 'P701', 'status': 'CHECKED', 'mismatches': []}"
P501,"{'code': 'P501', 'status': 'CHECKED', 'mismatches': []}"
P135,"{'code': 'P135', 'status': 'CHECKED', 'mismatches': []}"
P135-Y,"{'code': 'P135-Y', 'status': 'CHECKED', 'mismatches': []}"
P135-NNB,"{'code': 'P135-NNB', 'status': 'CHECKED', 'mismatches': []}"
P135-NN9,"{'code': 'P135-NN9', 'status': 'CHECKED', 'mismatches': []}"
P132,"{'code': 'P132', 'status': 'CHECKED', 'mismatches': []}"
P132-Y,"{'code': 'P132-Y', 'status': 'CHECKED', 'mismatches': []}"
P132-NNM,"{'code': 'P132-NNM', 'status': 'CHECKED', 'mismatches': []}"
P132-NNK,"{'code': 'P132-NNK', 'status': 'CHECKED', 'mismatches': []}"
P132-NNL,"{'code': 'P132-NNL', 'status': 'CHECKED', 'mismatches': []}"
P132-NNAA,"{'code': 'P132-NNAA', 'status': 'CHECKED', 'mismatches': []}"
P132-NNAH,"{'code': 'P132-NNAH', 'status': 'CHECKED', 'mismatches': []}"
P132-NNAB,"{'code': 'P132-NNAB', 'status': 'CHECKED', 'mismatches': []}"
P132-NNAK,"{'code': 'P132-NNAK', 'status': 'CHECKED', 'mismatches': []}"
P132-NNS,"{'code': 'P132-NNS', 'status': 'CHECKED', 'mismatches': []}"
P132-NNT,"{'code': 'P132-NNT', 'status': 'CHECKED', 'mismatches': []}"
P132-NNAJ,"{'code': 'P132-NNAJ', 'status': 'CHECKED', 'mismatches': []}"
P132-NNAG,"{'code': 'P132-NNAG', 'status': 'CHECKED', 'mismatches': []}"
P132-HNF,"{'code': 'P132-HNF', 'status': 'CHECKED', 'mismatches': []}"
P132-HNG,"{'code': 'P132-HNG', 'status': 'CHECKED', 'mismatches': []}"
P192-NE,"{'code': 'P192-NE', 'status': 'CHECKED', 'mismatches': []}"
P133,"{'code': 'P133', 'status': 'CHECKED', 'mismatches': []}"
P138,"{'code': 'P138', 'status': 'CHECKED', 'mismatches': []}"
P138-Y,"{'code': 'P138-Y', 'status': 'CHECKED', 'mismatches': []}"
P138-NN1,"{'code': 'P138-NN1', 'status': 'CHECKED', 'mismatches': []}"
P138-YN1,"{'code': 'P138-YN1', 'status': 'CHECKED', 'mismatches': []}"
P138-NNB,"{'code': 'P138-NNB', 'status': 'CHECKED', 'mismatches': []}"
P13E,"{'code': 'P13E', 'status': 'CHECKED', 'mismatches': []}"
P137,"{'code': 'P137', 'status': 'CHECKED', 'mismatches': []}"
P137-Y,"{'code': 'P137-Y', 'status': 'CHECKED', 'mismatches': []}"
P137-NN3,"{'code': 'P137-NN3', 'status': 'CHECKED', 'mismatches': []}"
P136,"{'code': 'P136', 'status': 'CHECKED', 'mismatches': []}"
P13A,"{'code': 'P13A', 'status': 'CHECKED', 'mismatches': []}"
P13AF,"{'code': 'P13AF', 'status': 'CHECKED', 'mismatches': []}"
P131,"{'code': 'P131', 'status': 'CHECKED', 'mismatches': []}"
P131-Y,"{'code': 'P131-Y', 'status': 'CHECKED', 'mismatches': []}"
P131-NN4,"{'code': 'P131-NN4', 'status': 'CHECKED', 'mismatches': []}"
P13Q,"{'code': 'P13Q', 'status': 'CHECKED', 'mismatches': []}"
P13O,"{'code': 'P13O', 'status': 'CHECKED', 'mismatches': []}"
P139,"{'code': 'P139', 'status': 'CHECKED', 'mismatches': []}"
P139-Y,"{'code': 'P139-Y', 'status': 'CHECKED', 'mismatches': []}"
P13C,"{'code': 'P13C', 'status': 'CHECKED', 'mismatches': []}"
P124,"{'code': 'P124', 'status': 'CHECKED', 'mismatches': []}"
P124-NN9,"{'code': 'P124-NN9', 'status': 'CHECKED', 'mismatches': []}"
P124-NN8,"{'code': 'P124-NN8', 'status': 'CHECKED', 'mismatches': []}"
P124-NN7,"{'code': 'P124-NN7', 'status': 'CHECKED', 'mismatches': []}"
P124-NNA,"{'code': 'P124-NNA', 'status': 'CHECKED', 'mismatches': []}"
P124-NNC,"{'code': 'P124-NNC', 'status': 'CHECKED', 'mismatches': []}"
P22A-NN9,"{'code': 'P22A-NN9', 'status': 'CHECKED', 'mismatches': []}"
P123,"{'code': 'P123', 'status': 'CHECKED', 'mismatches': []}"
P123-Y,"{'code': 'P123-Y', 'status': 'CHECKED', 'mismatches': []}"
P24B-H,"{'code': 'P24B-H', 'status': 'CHECKED', 'mismatches': []}"
P244-HN3,"{'code': 'P244-HN3', 'status': 'CHECKED', 'mismatches': []}"
P224,"{'code': 'P224', 'status': 'CHECKED', 'mismatches': []}"
