Programme Name,Programme Code,Matched Bucket,Dates
Diploma (Engg.) Electronics and Comm. Engg. (ECE),P105,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) Computer Sc. and Engg. (CSE),P102,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) AI and ML,P102-NNP,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) Mechanical Engg. (ME),P108,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) Automobile Engg. (AE),P109,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) Civil Engg. (CE),P107,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma (Engg.) Electrical Engg. (EE),P106,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma in Business Administration,P301,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma in Architectural Assistantship,P701,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
Diploma in Medical Lab. Technology (DMLT),P501,Type C,"{""Last Date of Admission"": ""20th August 2026"", ""Dates of Scholarship Examination"": ""Till 22nd August 2026"", ""Scholarship Result"": ""Within 3 working days""}"
B.Tech. (Electronics and Communication Engineering),P135,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B Tech (ECE) [ 2+2 with international credit transfer option],P135-Y,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (ECE - Semiconductor and VLSI Design),P135-NNB,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech (ECE - Artificial Intelligence and Automation),P135-NN9,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. (Computer Science and Engineering),P132,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B Tech (CSE) [ 2+2 with international credit transfer option],P132-Y,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
B.Tech. CSE - Data Science with ML,P132-NNM,Type B (all tests),"{""Online Registration Starts on"": ""1st August 2026 onwards"", ""Slot Booking for Online Examination"": ""1st August  2026 onwards"", ""Last date to apply & book slot"": ""15th August 2026\n17th August 2026"", ""Dates of Entrance Examination #"": ""4th August onwards"", ""Display of Result"": ""Within 3 working days"", ""Last Date of Admission"": ""20th August 2026""}"
