OfficialCode,A,B,C,D,E,F,G,H,I,J
P105,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P102-NNP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P108,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P109,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P107,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P106,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P301,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P701,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P501,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P135,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P135-Y,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
P135-NNB,No,No,No,No,No,No,No,No,No,No
P135-NN9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P132,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P132-Y,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
P132-NNM,No,No,No,No,No,No,No,No,No,No
P132-NNK,No,No,No,No,No,No,Yes,No,No,No
P132-NNL,No,No,No,No,No,No,Yes,No,No,No
P132-NNAA,No,No,No,No,No,No,No,No,No,No
P132-NNAH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P132-NNAB,No,No,No,No,No,No,No,No,No,No
P132-NNAK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P132-NNS,No,No,No,No,No,No,No,No,No,No
P132-NNT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P132-NNAJ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P132-NNAG,No,No,No,No,No,No,No,No,No,No
P132-HNF,No,No,No,No,No,No,No,No,No,No
P132-HNG,No,No,No,No,No,No,No,No,No,No
P192-NE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P133,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P138,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P138-Y,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
P138-NN1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P138-YN1,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
P138-NNB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P13E,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P137,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P137-Y,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
P137-NN3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P136,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P13A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P13AF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P131,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P131-Y,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
P131-NN4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P13Q,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P13O,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P139,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P139-Y,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
P13C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P124,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P124-NN9,No,No,No,No,No,No,No,No,No,No
P124-NN8,No,No,No,No,No,No,No,No,No,No
P124-NN7,No,No,No,No,No,No,No,No,No,No
P124-NNA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P124-NNC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P22A-NN9,No,No,No,No,No,No,No,No,No,No
P123,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P123-Y,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
P24B-H,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P244-HN3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P224,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P245-HN1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P240-HN3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P220,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P243-HN3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P223,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P24G-H,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P22G,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P24A-HNB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P22A-NN5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P24A-HNC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P22A-NN7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P24A-HND,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P22A-NN6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P24A-HNE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P22A-NN8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P321,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P321-Y,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
P340-HNAE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P340-HNAH,No,No,No,No,No,No,No,No,No,No
P390-NE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P320-NN6,No,No,No,No,No,No,No,No,No,No
P320-NNG,No,No,No,No,No,No,No,No,No,No
P320-NNB,No,No,No,No,No,No,No,No,No,No
P320-NNV,No,No,No,No,No,No,No,No,No,No
P320-NNX,No,No,No,No,No,No,No,No,No,No
P320-NNY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P320-NNZ,No,No,No,No,No,No,No,No,No,No
P320-NNAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P320-NNT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P322,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P322-Y,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
P342-HN9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P322-NN2,No,No,No,No,No,No,No,No,No,No
P322-NN6,No,No,No,No,No,No,No,No,No,No
P322-NN7,No,No,No,No,No,No,No,No,No,No
P322-NNA,No,No,No,No,No,No,No,No,No,No
P323-NN1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P343-HN2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P490-HH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P391-HH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P325,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P320-NNAG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
