official_code,eligibility_base,row_label,eligibility_indian,eligibility_international,relaxation,remarks,equivalent_qualification
P105,After 10th,diploma engg,"50% with English, Maths and Science","50% with  Maths, Science and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
P102,After 10th,diploma engg,"50% with English, Maths and Science","50% with  Maths, Science and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
P102-NNP,After 10th,diploma engg,"50% with English, Maths and Science","50% with  Maths, Science and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
P108,After 10th,diploma engg,"50% with English, Maths and Science","50% with  Maths, Science and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
P109,After 10th,diploma engg,"50% with English, Maths and Science","50% with  Maths, Science and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
P107,After 10th,diploma engg,"50% with English, Maths and Science","50% with  Maths, Science and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
P106,After 10th,diploma engg,"50% with English, Maths and Science","50% with  Maths, Science and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
P301,After 10th,diploma in business administration,50% with English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
P701,After 10th,dip in architectural assistantship,"50% with  English, Maths and Science","50% with Maths, Science and  ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
P501,After 10th,diploma in medical lab technology dmlt,50% with English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
P135,After 10+2,b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,"60% in 10+2 with (English , Physics & Mathematics )+ LPUNEST/ JEE Main (From Phase II Onwards)/ CUET",50% in 10+2 with (Physics & Mathematics) and ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",,
P135-Y,After 10+2,b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,"60% in 10+2 with (English , Physics & Mathematics )+ LPUNEST/ JEE Main (From Phase II Onwards)/ CUET",50% in 10+2 with (Physics & Mathematics) and ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",,
