official_code,eligibility_base,row_label,status,reason
P105,After 10th,diploma engg,HIGH,Exact normalized match.
P102,After 10th,diploma engg,HIGH,Exact normalized match.
P102-NNP,After 10th,diploma engg,HIGH,Exact normalized match.
P108,After 10th,diploma engg,HIGH,Exact normalized match.
P109,After 10th,diploma engg,HIGH,Exact normalized match.
P107,After 10th,diploma engg,HIGH,Exact normalized match.
P106,After 10th,diploma engg,HIGH,Exact normalized match.
P301,After 10th,diploma in business administration,HIGH,Exact normalized match.
P701,After 10th,dip in architectural assistantship,HIGH,Exact normalized match.
P501,After 10th,diploma in medical lab technology dmlt,HIGH,Exact normalized match.
P135,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Closest eligibility row by name similarity with branch awareness.
P135-Y,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P135-NNB,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P135-NN9,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-Y,After 10+2 (12th),b tech hons cse data science and data engineering b tech hons cse cyber security and block chain,HIGH,Exact normalized match.
P132-NNM,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-NNK,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-NNL,After 10+2 (12th),b tech cse software product engineering,HIGH,Exact normalized match.
P132-NNAA,After 10+2 (12th),b tech cse ai and data analytics,HIGH,Exact normalized match.
P132-NNAH,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-NNAB,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-NNAK,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-NNS,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-NNT,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-NNAJ,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-NNAG,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-HNF,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P132-HNG,After 10+2 (12th),b tech hons cse data science and data engineering b tech hons cse cyber security and block chain,HIGH,Exact normalized match.
P192-NE,After 10+2 (12th),integrated b tech computer science and engineering mba,HIGH,Exact normalized match.
P133,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P138,After 10+2 (12th),b tech chemical civil mechanical including with international credit transfer option mechanical mechatronics aerospace automobile artificial intelligence and machine learning civil b tech civil ai and ml,HIGH,Exact normalized match.
P138-Y,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Closest eligibility row by name similarity with branch awareness.
P138-NN1,After 10+2 (12th),b tech chemical civil mechanical including with international credit transfer option mechanical mechatronics aerospace automobile artificial intelligence and machine learning civil b tech civil ai and ml,HIGH,Closest eligibility row by name similarity with branch awareness.
P138-YN1,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Closest eligibility row by name similarity with branch awareness.
P138-NNB,After 10+2 (12th),bca artificial intelligence and machine learning,HIGH,Exact normalized match.
P13E,After 10+2 (12th),b tech chemical civil mechanical including with international credit transfer option mechanical mechatronics aerospace automobile artificial intelligence and machine learning civil b tech civil ai and ml,HIGH,Exact normalized match.
P137,After 10+2 (12th),b tech chemical civil mechanical including with international credit transfer option mechanical mechatronics aerospace automobile artificial intelligence and machine learning civil b tech civil ai and ml,HIGH,Exact normalized match.
P137-Y,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Closest eligibility row by name similarity with branch awareness.
P137-NN3,After 10+2 (12th),b tech chemical civil mechanical including with international credit transfer option mechanical mechatronics aerospace automobile artificial intelligence and machine learning civil b tech civil ai and ml,HIGH,Exact normalized match.
P136,After 10+2 (12th),b tech hons cse data science and data engineering b tech hons cse cyber security and block chain,HIGH,Closest eligibility row by name similarity with branch awareness.
P13A,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Closest eligibility row by name similarity with branch awareness.
P13AF,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Exact normalized match.
P131,After 10+2 (12th),b tech biotechnology food tech and biomedical including with international credit transfer option biotechnology genetics and artificial intelligence,HIGH,Exact normalized match.
P131-Y,After 10+2 (12th),b tech biotechnology food tech and biomedical including with international credit transfer option biotechnology genetics and artificial intelligence,HIGH,Closest eligibility row by name similarity with branch awareness.
P131-NN4,After 10+2 (12th),b tech biotechnology food tech and biomedical including with international credit transfer option biotechnology genetics and artificial intelligence,HIGH,Exact normalized match.
P13Q,After 10+2 (12th),b tech biotechnology food tech and biomedical including with international credit transfer option biotechnology genetics and artificial intelligence,HIGH,Exact normalized match.
P13O,After 10+2 (12th),b tech biotechnology food tech and biomedical including with international credit transfer option biotechnology genetics and artificial intelligence,HIGH,Exact normalized match.
P139,After 10+2 (12th),b tech chemical civil mechanical including with international credit transfer option mechanical mechatronics aerospace automobile artificial intelligence and machine learning civil b tech civil ai and ml,HIGH,Exact normalized match.
P139-Y,After 10+2 (12th),b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,HIGH,Closest eligibility row by name similarity with branch awareness.
P13C,After 10+2 (12th),b tech chemical civil mechanical including with international credit transfer option mechanical mechatronics aerospace automobile artificial intelligence and machine learning civil b tech civil ai and ml,HIGH,Exact normalized match.
P124,After 10+2 (12th),bca,HIGH,Exact normalized match.
P124-NN9,After 10+2 (12th),bca cyber security,HIGH,Exact normalized match.
P124-NN8,After 10+2 (12th),bca data science in tie up with ibm,HIGH,Exact normalized match.
P124-NN7,After 10+2 (12th),bca artificial intelligence and machine learning,HIGH,Exact normalized match.
P124-NNA,After 10+2 (12th),bca artificial intelligence and data analytics,HIGH,Exact normalized match.
P124-NNC,After 10+2 (12th),bca ai and robotics,HIGH,Exact normalized match.
P22A-NN9,After 10+2 (12th),b sc computer science cyber security,HIGH,Exact normalized match.
P123,After 10+2 (12th),bsc it including with international credit transfer option,HIGH,Exact normalized match.
P123-Y,After 10+2 (12th),bsc it including with international credit transfer option,HIGH,Exact normalized match.
P24B-H,After 10+2 (12th),b sc hons agriculture,HIGH,Exact normalized match.
