official_code,eligibility_base,base_fee,phase1_A,phase1_B,phase1_C,phase1_D,phase2_A,phase2_B,phase2_C,phase2_D,phase3_A,phase3_B,phase3_C,phase3_D,phase4_A,phase4_B,phase4_C,phase4_D,phase5_A,phase5_B,phase5_C,phase5_D
P105,After 10th,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
P102,After 10th,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
P102-NNP,After 10th,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
P108,After 10th,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
P109,After 10th,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
P107,After 10th,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
P106,After 10th,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
P301,After 10th,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P701,After 10th,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
P501,After 10th,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
P135,After 10+2,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,77000.0,91000.0,105000.0,63000.0,84000.0,98000.0,112000.0,70000.0,91000.0,105000.0,119000.0,77000.0,98000.0,112000.0,126000.0
P135-Y,After 10+2,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,77000.0,91000.0,105000.0,63000.0,84000.0,98000.0,112000.0,70000.0,91000.0,105000.0,119000.0,77000.0,98000.0,112000.0,126000.0
P135-NNB,After 10+2,180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
P135-NN9,After 10+2,180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
P132,After 10+2,160000.0,64000.0,80000.0,96000.0,112000.0,64000.0,88000.0,104000.0,120000.0,72000.0,96000.0,112000.0,128000.0,80000.0,104000.0,120000.0,136000.0,88000.0,112000.0,128000.0,144000.0
P132-Y,After 10+2,160000.0,64000.0,80000.0,96000.0,112000.0,64000.0,88000.0,104000.0,120000.0,72000.0,96000.0,112000.0,128000.0,80000.0,104000.0,120000.0,136000.0,88000.0,112000.0,128000.0,144000.0
P132-NNM,After 10+2,180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
P132-NNK,After 10+2,200000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0
P132-NNL,After 10+2,200000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0
P132-NNAA,After 10+2,180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
P132-NNAH,After 10+2,180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
P132-NNAB,After 10+2,180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
P132-NNAK,After 10+2,200000.0,80000.0,100000.0,120000.0,140000.0,80000.0,110000.0,130000.0,150000.0,90000.0,120000.0,140000.0,160000.0,100000.0,130000.0,150000.0,170000.0,110000.0,140000.0,160000.0,180000.0
P132-NNS,After 10+2,200000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0
P132-NNT,After 10+2,180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
P132-NNAJ,After 10+2,200000.0,80000.0,100000.0,120000.0,140000.0,80000.0,110000.0,130000.0,150000.0,90000.0,120000.0,140000.0,160000.0,100000.0,130000.0,150000.0,170000.0,110000.0,140000.0,160000.0,180000.0
P132-NNAG,After 10+2,450000.0,292500.0,315000.0,337500.0,360000.0,292500.0,315000.0,337500.0,360000.0,292500.0,315000.0,337500.0,360000.0,292500.0,315000.0,337500.0,360000.0,292500.0,315000.0,337500.0,360000.0
P132-HNF,After 10+2,200000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0
P132-HNG,After 10+2,200000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0
P192-NE,After 10+2,160000.0,64000.0,80000.0,96000.0,112000.0,64000.0,88000.0,104000.0,120000.0,72000.0,96000.0,112000.0,128000.0,80000.0,104000.0,120000.0,136000.0,88000.0,112000.0,128000.0,144000.0
P133,After 10+2,160000.0,64000.0,80000.0,96000.0,112000.0,64000.0,88000.0,104000.0,120000.0,72000.0,96000.0,112000.0,128000.0,80000.0,104000.0,120000.0,136000.0,88000.0,112000.0,128000.0,144000.0
P138,After 10+2,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,77000.0,91000.0,105000.0,63000.0,84000.0,98000.0,112000.0,70000.0,91000.0,105000.0,119000.0,77000.0,98000.0,112000.0,126000.0
P138-Y,After 10+2,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,77000.0,91000.0,105000.0,63000.0,84000.0,98000.0,112000.0,70000.0,91000.0,105000.0,119000.0,77000.0,98000.0,112000.0,126000.0
P138-NN1,After 10+2,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,77000.0,91000.0,105000.0,63000.0,84000.0,98000.0,112000.0,70000.0,91000.0,105000.0,119000.0,77000.0,98000.0,112000.0,126000.0
P138-YN1,After 10+2,140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,77000.0,91000.0,105000.0,63000.0,84000.0,98000.0,112000.0,70000.0,91000.0,105000.0,119000.0,77000.0,98000.0,112000.0,126000.0
