eligibility_base,row_label,base_fee,phase1_A,phase1_B,phase1_C,phase1_D,phase2_A,phase2_B,phase2_C,phase2_D,phase3_A,phase3_B,phase3_C,phase3_D,phase4_A,phase4_B,phase4_C,phase4_D,phase5_A,phase5_B,phase5_C,phase5_D
After 10th,Diploma (Engg.) - all branches,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
After 10th,Diploma in Business Administration,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10th,Dip.in Architectural Assistantship,30000.0,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,,30000.0,,,
After 10th,DMLT,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,"B.Tech - all branches / B Tech  [ 2+2 with international credit transfer option] (except CSE/ IT)
Note:- For Int . Credit Transfer Option INR 50,000 as International Transfer Fee additionally to be paid with 1st Semster Fee.",140000.0,56000.0,70000.0,84000.0,98000.0,56000.0,77000.0,91000.0,105000.0,63000.0,84000.0,98000.0,112000.0,70000.0,91000.0,105000.0,119000.0,77000.0,98000.0,112000.0,126000.0
After 10+2,"B.Tech -  (CSE/ IT), B Tech (CSE) [ 2+2 with international credit transfer option]
Note:- For Int . Credit Transfer Option INR 50,000 as International Transfer Fee additionally to be paid with 1st Semster Fee.",160000.0,64000.0,80000.0,96000.0,112000.0,64000.0,88000.0,104000.0,120000.0,72000.0,96000.0,112000.0,128000.0,80000.0,104000.0,120000.0,136000.0,88000.0,112000.0,128000.0,144000.0
After 10+2,Integrated B.Tech. Computer Science and Engineering - MBA,160000.0,64000.0,80000.0,96000.0,112000.0,64000.0,88000.0,104000.0,120000.0,72000.0,96000.0,112000.0,128000.0,80000.0,104000.0,120000.0,136000.0,88000.0,112000.0,128000.0,144000.0
After 10+2,B.Tech. (Robotics and Automation),180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
After 10+2,B.Tech. CSE-  Data Science with ML/ B.Tech . (CSE- Cloud Computing and Gen AI)/ B.Tech. (CSE - Artificial Intelligence and Data Science)/  B.Tech. (ECE - Semiconductor and VLSI Design)/ B.Tech (ECE - Artificial Intelligence and Automation)/ B.Tech (Civil - AI and ML),180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
After 10+2,B.Tech. (CSE - Computer Science and Business Systems),180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
After 10+2,B.Tech. (ME - Artificial Intelligence and Machine Learning),180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
After 10+2,"B.Tech. (CSE - Artificial Intelligence and Machine Learning)
B.Tech. (CSE - Robotics and Artificial Intelligence)",200000.0,80000.0,100000.0,120000.0,140000.0,80000.0,110000.0,130000.0,150000.0,90000.0,120000.0,140000.0,160000.0,100000.0,130000.0,150000.0,170000.0,110000.0,140000.0,160000.0,180000.0
After 10+2,B.Tech. (CSE- Generative AI) [Gen AI],200000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0
After 10+2,B.Tech (CSE - AI and Data Analytics),180000.0,72000.0,90000.0,108000.0,125999.99999999999,72000.0,99000.0,117000.0,135000.0,81000.0,108000.0,126000.0,144000.0,90000.0,117000.0,135000.0,153000.0,99000.0,126000.0,144000.0,162000.0
After 10+2,B.Tech. (CSE - AI and Data Engineering),200000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0
After 10+2,B.Tech. (CSE - Software Product Engineering),200000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0
After 10+2,B.Tech (Genetics and Artificial Intelligence),200000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0,150000.0,160000.0,170000.0,180000.0
After 10+2,B.Tech (CSE - AI and System Design) with Global Tech Immersion,450000.0,292500.0,315000.0,337500.0,360000.0,292500.0,315000.0,337500.0,360000.0,292500.0,315000.0,337500.0,360000.0,292500.0,315000.0,337500.0,360000.0,292500.0,315000.0,337500.0,360000.0
After 10+2,"B.Tech (Hons.) (CSE- - Data Science and Data Engineering)
B.Tech (Hons.) (CSE- Cyber Security and Block Chain)",200000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0,130000.0,140000.0,150000.0,160000.0
After 10+2,BCA,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,44000.0,52000.0,60000.0,36000.0,48000.0,56000.0,64000.0,40000.0,52000.0,60000.0,68000.0,44000.0,56000.0,64000.0,72000.0
After 10+2,BCA (Data Science) in tieup with IBM,120000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0
After 10+2,BCA (Artificial Intelligence and Machine Learning),120000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0
After 10+2,BCA (Artificial Intelligence and Data Analytics),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,BCA (AI and Robotics),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,BCA (Cyber Security),120000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0
After 10+2,B.Sc. (Computer Science - Cyber Security),120000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0,78000.0,84000.0,90000.0,96000.0
After 10+2,"B.Sc.  (IT)/ B Sc (IT)  [2+2 with international credit transfer option]
Note:- For Int . Credit Transfer Option INR 50,000 as International Transfer Fee additionally to be paid with 1st Semster Fee.",80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,44000.0,52000.0,60000.0,36000.0,48000.0,56000.0,64000.0,40000.0,52000.0,60000.0,68000.0,44000.0,56000.0,64000.0,72000.0
After 10+2,B.Sc. (Hons.) Agriculture,120000.0,48000.0,60000.0,72000.0,84000.0,48000.0,60000.0,72000.0,84000.0,53999.99999999999,66000.0,78000.0,90000.0,60000.0,72000.0,84000.0,96000.0,66000.0,78000.0,90000.0,102000.0
After 10+2,B.Sc. (Hons.)/(Hons with Research) Forensic Sciences,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Forensic Science),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Hons.)/(Hons with Research) Food Technology,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Food Technology),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,Bachelor of Nutrition and Dietetics (Honours),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Hons.)/(Hons with Research) Biotechnology,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Biotechnology),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Hons.)/(Hons with Research) Microbiology,80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Microbiology),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
After 10+2,B.Sc. (Hons.)/(Hons with Research) Zoology,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,B.Sc. (Zoology),50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,B.Sc. (Hons.)/(Hons with Research) Physics,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,B.Sc. (Physics),50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,B.Sc. (Hons.)/(Hons with Research) Chemistry,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,B.Sc. (Chemistry),50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,B.Sc. (Hons.)/(Hons with Research) Mathematics,50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,B.Sc. (Mathematics),50000.0,20000.0,25000.0,30000.0,35000.0,20000.0,25000.0,30000.0,35000.0,22499.999999999996,27500.000000000004,32500.0,37500.0,25000.0,30000.0,35000.0,40000.0,27500.0,32500.0,37500.0,42500.0
After 10+2,"BBA/ BBA  [ 2+2 with international credit transfer option]
Note:- For Int . Credit Transfer Option INR 50,000 as International Transfer Fee additionally to be paid with 1st Semster Fee.",80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,44000.0,52000.0,60000.0,36000.0,48000.0,56000.0,64000.0,40000.0,52000.0,60000.0,68000.0,44000.0,56000.0,64000.0,72000.0
After 10+2,Integrated BBA-MBA,100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,BBA (Hons.) (Technology and Management) with Global Immersion,350000.0,227500.0,245000.0,262500.0,280000.0,227500.0,245000.0,262500.0,280000.0,227500.0,245000.0,262500.0,280000.0,227500.0,245000.0,262500.0,280000.0,227500.0,245000.0,262500.0,280000.0
After 10+2,BBA (Hons.)/ (Hons. with Research),80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,44000.0,52000.0,60000.0,36000.0,48000.0,56000.0,64000.0,40000.0,52000.0,60000.0,68000.0,44000.0,56000.0,64000.0,72000.0
After 10+2,BBA (Financial Markets),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,BBA (International Finance),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,BBA (Business Analytics),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,BBA (International Accounting),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,BBA (Corporate Finance),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,BBA (Fintech and Artificial Intelligence),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,BBA (Artificial Intelligence and Machine Learning),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,BBA (Digital Marketing and Artificial Intelligence),100000.0,40000.0,50000.0,60000.0,70000.0,40000.0,55000.0,65000.0,75000.0,45000.0,60000.0,70000.0,80000.0,50000.0,65000.0,75000.0,85000.0,55000.0,70000.0,80000.0,90000.0
After 10+2,"BBA (Cargo, Logistics, and Supply Chain Management)",80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,44000.0,52000.0,60000.0,36000.0,48000.0,56000.0,64000.0,40000.0,52000.0,60000.0,68000.0,44000.0,56000.0,64000.0,72000.0
After 10+2,"B.Com./ B.Com  [2+2 with international credit transfer option]
Note:- For Int . Credit Transfer Option INR 50,000 as International Transfer Fee additionally to be paid with 1st Semster Fee.",80000.0,32000.0,40000.0,48000.0,56000.0,32000.0,40000.0,48000.0,56000.0,36000.0,44000.0,52000.0,60000.0,40000.0,48000.0,56000.0,64000.0,44000.0,52000.0,60000.0,68000.0
