official_code,eligibility_base,row_label
P105,After 10th,Diploma (Engg.) - all branches
P102,After 10th,Diploma (Engg.) - all branches
P102-NNP,After 10th,Diploma (Engg.) - all branches
P108,After 10th,Diploma (Engg.) - all branches
P109,After 10th,Diploma (Engg.) - all branches
P107,After 10th,Diploma (Engg.) - all branches
P106,After 10th,Diploma (Engg.) - all branches
P301,After 10th,Diploma in Business Administration
P701,After 10th,Dip.in Architectural Assistantship
P501,After 10th,DMLT
P135,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P135-Y,After 10+2 (12th),B.Tech - all branches / B Tech [ 2+2 with international credit transfer option] (except CSE/ IT)
P135-NNB,After 10+2 (12th),B.Tech. CSE- Data Science with ML/ B.Tech . (CSE- Cloud Computing and Gen AI)/ B.Tech. (CSE - Artificial Intelligence and Data Science)/ B.Tech. (ECE - Semiconductor and VLSI Design)/ B.Tech (ECE - Artificial Intelligence and Automation)/ B.Tech (Civil - AI and ML)
P135-NN9,After 10+2 (12th),B.Tech. CSE- Data Science with ML/ B.Tech . (CSE- Cloud Computing and Gen AI)/ B.Tech. (CSE - Artificial Intelligence and Data Science)/ B.Tech. (ECE - Semiconductor and VLSI Design)/ B.Tech (ECE - Artificial Intelligence and Automation)/ B.Tech (Civil - AI and ML)
P132,After 10+2 (12th),"B.Tech - (CSE/ IT), B Tech (CSE) [ 2+2 with international credit transfer option]"
P132-Y,After 10+2 (12th),"B.Tech - (CSE/ IT), B Tech (CSE) [ 2+2 with international credit transfer option]"
P132-NNM,After 10+2 (12th),B.Tech. CSE- Data Science with ML/ B.Tech . (CSE- Cloud Computing and Gen AI)/ B.Tech. (CSE - Artificial Intelligence and Data Science)/ B.Tech. (ECE - Semiconductor and VLSI Design)/ B.Tech (ECE - Artificial Intelligence and Automation)/ B.Tech (Civil - AI and ML)
P132-NNK,After 10+2 (12th),B.Tech. (CSE - AI and Data Engineering)
P132-NNL,After 10+2 (12th),B.Tech. (CSE - Software Product Engineering)
