official_code,base_saarc,base_zone1,base_zone2,saarc_A,saarc_B,saarc_C,zone1_A,zone1_B,zone1_C,zone2_A,zone2_B,zone2_C
P105,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P102,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P102-NNP,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P108,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P109,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P107,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P106,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P301,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P701,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P501,60000.0,1500.0,3000.0,24000.0,30000.0,36000.0,600.0,750.0,900.0,1200.0,1500.0,1800.0
P135,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P135-Y,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P135-NNB,180000.0,2500.0,4000.0,72000.0,90000.0,108000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P135-NN9,180000.0,2500.0,4000.0,72000.0,90000.0,108000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P132,160000.0,2500.0,4000.0,64000.0,80000.0,96000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P132-Y,160000.0,2500.0,4000.0,64000.0,80000.0,96000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P132-NNM,180000.0,3000.0,4500.0,72000.0,90000.0,108000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-NNK,200000.0,3000.0,4500.0,80000.0,100000.0,120000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-NNL,200000.0,3000.0,4500.0,80000.0,100000.0,120000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-NNAA,180000.0,3000.0,4500.0,72000.0,90000.0,108000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-NNAH,180000.0,3000.0,4500.0,72000.0,90000.0,108000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-NNAB,180000.0,3000.0,4500.0,72000.0,90000.0,108000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-NNAK,200000.0,3000.0,4500.0,80000.0,100000.0,120000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-NNS,200000.0,3000.0,4500.0,80000.0,100000.0,120000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-NNT,180000.0,3000.0,4500.0,72000.0,90000.0,108000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-NNAJ,200000.0,3000.0,4500.0,80000.0,100000.0,120000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-NNAG,450000.0,7000.0,9500.0,180000.0,225000.0,270000.0,2800.0,3500.0,4200.0,3800.0,4750.0,5700.0
P132-HNF,200000.0,3000.0,4500.0,80000.0,100000.0,120000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P132-HNG,200000.0,3000.0,4500.0,80000.0,100000.0,120000.0,1200.0,1500.0,1800.0,1800.0,2250.0,2700.0
P192-NE,160000.0,2500.0,4000.0,64000.0,80000.0,96000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P133,160000.0,2500.0,4000.0,64000.0,80000.0,96000.0,1000.0,1250.0,1500.0,1600.0,2000.0,2400.0
P138,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P138-Y,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
P138-NN1,140000.0,2000.0,3500.0,56000.0,70000.0,84000.0,800.0,1000.0,1200.0,1400.0,1750.0,2100.0
