OfficialCode,ProgramId,ProgramName
P102,641,Diploma Computer Science and Engineering (CSE)
P102-L,648,Diploma Computer Science and Engineering (CSE) [Lateral Entry]
P102-LNP,1131,Diploma (Engg.) AI and ML [Lateral Entry]
P102-NNP,913,Diploma Artificial Intelligence and Machine Learning (AI and ML)
P105,639,Diploma Electronics and Communication Engineering (ECE)
P105-L,200,Diploma Electronics and Communication Engineering (ECE) [Lateral Entry]
P106,638,Diploma (Engg.) Electrical Engineering (EE)
P107,11,Diploma Civil Engineering (CE)
P107-L,650,Diploma Civil Engineering (CE) [Lateral Entry]
P108,640,Diploma Mechanical Engineering (ME)
P108-L,649,Diploma Mechanical Engineering (ME) [Lateral Entry]
P109,642,Diploma Automobile Engineering (AE)
P123,53,B.Sc. Information Technology (IT)
P123-L,196,B.Sc. Information Technology [Lateral Entry]
P123-Y,715,B.Sc. Information Technology [2+2 with International Credit Transfer Option]
P124,59,BCA (Bachelor of Computer Applications)
P124-L,199,BCA (Bachelor of Computer Applications) Lateral Entry
P124-NN7,820,BCA Artificial Intelligence and Machine Learning <i> in tie up with</i><b> IBM</b>
P124-NN8,831,BCA Data Science <i> in tie up with</i><b> IBM</b>
P124-NN9,918,BCA Cyber Security <i> in tie up with</i><b> Comptia</b>
P124-NNA,874,BCA Artificial Intelligence and Data Analytics
P124-NNC,939,BCA Artificial Intelligence and Robotics
P131,575,B.Tech. Biotechnology Engineering
P131-L,622,B.Tech. Biotechnology [Lateral Entry]
P131-NN4,983,B.Tech. (Genetics and Artificial Intelligence)
P131-Y,714,B.Tech.. Biotechnology Engineering [2+2 with International Credit Transfer Option]
P132,570,B.Tech. Computer Science and Engineering (CSE)
P132-HNF,678,B.Tech. Hons. (CSE) - Data Science and Data Engineering <i> in tie up with </i><b> Transorg Analytics</b>
P132-HNG,679,B.Tech. Hons. (CSE) - Cyber Security and Blockchain <i> in tie up with </i> <b>Comptia</b>
P132-L,621,B.Tech. Computer Science and Engineering [Lateral Entry]
P132-LNP,828,B.Tech. (CSE) - Artificial Intelligence and Machine Learning [Lateral Entry]
P132-NNAA,901,B.Tech. (CSE) - Artificial Intelligence and Data Analytics <i>in tie up with</i><b> Quantiphi</b>
P132-NNAB,906,B.Tech. (CSE) - Cloud Computing and Gen AI
P132-NNAG,975,B.Tech. (CSE - AI and System Design) with Global Tech Immersion
P132-NNAH,1073,B.Tech. (CSE) - Artificial Intelligence and Data Science
P132-NNAJ,1075,B.Tech. (CSE) - Robotics and Artificial Intelligence
P132-NNAK,1074,B.Tech. (CSE) - Artificial Intelligence and Machine Learning
P132-NNK,751,B.Tech. (CSE) - Artificial Intelligence and Data Engineering <i> in tie up with </i> <b>Futurense</b>
P132-NNL,752,B.Tech. (CSE) - Software Product Engineering <i> in tie up with </i> <b>Kalvium</b>
